Date In Stock,Make,Model,Status,Engine Size,Mileage,Cost,Retail,VAT,Colour,Make_new,Model_new
2024-02-08,ford,Ford Transit Variants,In Stock,998.0,37000.0,10200.0,,0.0,White,ford,Ford Transit Variants
2024-02-09,vauxhall,vivaro,In Stock,1598.0,80000.0,6200.0,,0.0,White,vauxhall,vivaro
2024-02-09,ford,puma,In Stock,999.0,15303.0,14500.0,,,Blue,ford,puma
2023-12-08,ford,puma,In Stock,1000.0,,22156.42,22289.1667,4457.8333,AGATE BLACK,ford,puma
2023-08-21,ford,Ford Focus Variants,In Stock,1000.0,,24104.5,,0.0,DESERT ISLAND BLUE,ford,Ford Focus Variants
2023-12-12,ford,puma,In Stock,1000.0,,25409.96,25249.1667,5049.8333,Grey Matter,ford,puma
2024-02-09,ford,Ford Fiesta Variants,In Stock,999.0,21761.0,10500.0,,,Metallic - Agate black,ford,Ford Fiesta Variants
2024-02-09,bmw,3 series,In Stock,1998.0,76865.0,6950.0,9949.0,0.0,FSH Mineral grey,bmw,3 series
2024-02-09,mazda,mx-30,In Stock,0.0,19000.0,10000.0,,,Metallic - Ceramic,Others,mx-30
2024-02-09,ford,Ford Focus Variants,In Stock,999.0,18000.0,14000.0,,0.0,Exclusive paint - Ruby red,ford,Ford Focus Variants
2024-02-09,ford,puma,In Stock,,17250.0,17750.0,,0.0,Lucid Red,ford,puma
2024-02-12,nissan,Nissan Qashqai Variants,In Stock,1618.0,66909.0,7115.0,9449.0,0.0,FSH Magnetic red,nissan,Nissan Qashqai Variants
2024-02-09,volkswagen,golf,In Stock,1968.0,73680.0,9350.0,,0.0,Metallic - Night blue,volkswagen,golf
2024-02-09,ford,Ford Fiesta Variants,In Stock,998.0,5500.0,13679.88,,,Solid - Race red,ford,Ford Fiesta Variants
2024-02-09,bmw,5 series,In Stock,1995.0,65991.0,14500.0,16999.0,0.0,Mediterranean blue,bmw,5 series
2024-02-09,audi,a1,In Stock,999.0,27258.0,15239.33,17299.0,0.0,Metallic - Chronos grey,audi,a1
2024-02-09,ford,Ford Focus Variants,In Stock,999.0,5000.0,7000.0,,,Design paint - Iceberg blue,ford,Ford Focus Variants
2024-02-09,ford,Ford Focus Variants,In Stock,999.0,49157.0,4500.0,,,Mica - Shadow black,ford,Ford Focus Variants
2024-02-09,ford,Ford Fiesta Variants,In Stock,1388.0,93000.0,500.0,,,Metallic - Moondust silver,ford,Ford Fiesta Variants
2024-02-09,nissan,x-trail,In Stock,1598.0,79759.0,7600.0,,0.0,Metallic - Titanium olive,nissan,x-trail
2024-02-09,ford,Ford Fiesta Variants,In Stock,998.0,67390.0,2750.0,,0.0,Metallic - Deep impact blue,ford,Ford Fiesta Variants
2024-02-09,ford,Ford Fiesta Variants,In Stock,998.0,74227.0,2500.0,,0.0,Solid - Race red,ford,Ford Fiesta Variants
2024-02-10,ford,Ford Fiesta Variants,In Stock,999.0,,,,0.0,Freedom Blue,ford,Ford Fiesta Variants
2024-02-12,ford,ecosport,In Stock,998.0,58800.0,7795.64,,,Additional premium paint - Agate Black,ford,ecosport
2024-02-12,ford,Ford Focus Variants,In Stock,1798.0,60591.0,750.0,,,Metallic - Panther black,ford,Ford Focus Variants
2024-02-12,ford,s-max,In Stock,1997.0,,2000.0,,,Metallic - Hypnotic Silver,ford,s-max
2024-02-12,seat,ibiza,In Stock,1390.0,75000.0,3300.0,,,Special Solid - White,seat,ibiza
2024-02-12,vauxhall,zafira,In Stock,1686.0,69778.0,1000.0,,,Black,vauxhall,zafira
2024-02-12,toyota,yaris,In Stock,1497.0,46402.0,9400.0,,,Metallic - Nebula blue,toyota,yaris
2024-02-12,ford,Ford Kuga Variants,In Stock,1995.0,8000.0,21500.0,,,Metallic - Chrome blue,ford,Ford Kuga Variants
2024-02-12,bmw,i3,In Stock,0.0,29000.0,17273.0,,,White,bmw,Others
2024-02-12,ford,Ford Transit Variants,In Stock,2198.0,85000.0,7000.0,,,Metallic - Deep impact blue,ford,Ford Transit Variants
2024-02-12,vauxhall,astra,In Stock,1598.0,90000.0,1250.0,,,Silver,vauxhall,astra
2024-02-12,ford,Ford Transit Variants,In Stock,1995.0,19896.0,12000.0,,,Metallic - Agate black,ford,Ford Transit Variants
2024-02-12,bmw,x5,In Stock,1242.0,,4200.0,,,Solid - Alpine white,bmw,Others
2024-02-12,honda,cr-v,In Stock,2204.0,137000.0,500.0,,,Pearl - Crystal black,honda,Others
2024-02-12,ford,ecosport,In Stock,998.0,35700.0,4000.0,,,Metallic - Kinetic blue,ford,ecosport
2024-02-12,ford,Ford Transit Variants,In Stock,1560.0,39500.0,8000.0,,,Blue,ford,Ford Transit Variants
